Job Title,Salary Estimate,Job Description,Rating,Company Name,Division,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Hourly,Employer Estimate,Salary Currency,min_salary,max_salary,avg_salary,Company
BI Analyst,CA$51K - CA$73K (Glassdoor est.),"At SCI our people make us even better, which is why we want you to be a part of our fast growing organization. SCI recognizes that having a great team is the key to success, which is why we attract and retain the right people with an employee experience that focuses on building trust, embracing change, and achieving our goals together. Any one of our 3000 industry experts will tell you that we take on some of Canada’s toughest service and logistic challenges in specialized transportation, technical services, and supply chain management. For 30 years, our proficient planning and flexible solutions have brought us top tier clients. With clear focus, operational excellence, and future growth at the core of our operation, we apply out-of-the-box thinking to deliver exceptional experiences that take our clients to the next level. Are you ready for your next challenge?
As BI Analyst, the incumbent will be responsible for implementation of new customer projects, change requests and managing day to day support of the business inquiries and BI environment. He/she will participate as part of a team in design and implementation of standardized reporting & analytics processes to support current and future reporting needs of business.",3.0,"SCI Group
3.0",,Toronto,51 to 200 Employees,,Company - Private,Taxi & Car Services,Transportation & Logistics,$5 to $25 million (USD),0,0,CAD,51.0,73.0,62.0,SCI Group
Software Engineer in Algorithms & Optimization - Junior,CA$90K - CA$110K (Employer est.),"Role Summary:
This is an opportunity in the exciting and fast-growing transportation technology industry. Public transit is being transformed from a system of static, scheduled fixed-routes, to a dynamic on-demand network, and you will be one of the pioneers shaping this transformation.
As the newest member of our Algorithms & Optimization team, you will contribute to the complex suite of algorithms that power RideCo’s core ridesharing platform. The ideal candidate must possess a sound grasp of Algorithms and Data Structures, strong critical thinking and reasoning skills, and the ability to produce readable, maintainable, and working software programs from abstract concepts and ideas. You will thrive in a small-team environment with fast-paced agile iterations, where every developer contributes code that delivers a meaningful impact to our customers and the company.",4.1,"RideCo
4.1",,Waterloo,51 to 200 Employees,2013.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,1,CAD,90.0,110.0,100.0,RideCo
Senior Data Analyst,CA$50K - CA$70K (Glassdoor est.),"Referred applicants should not apply directly to this role.
All referred applicants must first be submitted through Workday by a current Loblaw Colleague.
Location:
1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5
At Loblaw, we help millions of Canadians get through their best days, worst days, celebration days, and every day. Through our innovation and quality products, we’re here for our friends, neighbours, family members and colleagues.

We succeed through collaboration and commitment and set a high bar for ourselves and those around us.

We’re looking for adaptable people who are thrilled to join us in our goal of helping Canadians Live Life Well®. Whether you are just starting your career, re-entering the workforce, or looking for a new job, this is where you belong. We promote leaders at every level and support our people to follow their passion.
Full time
Regular",3.6,"Loblaw Companies Limited
3.6",,Brampton,10000+ Employees,,Company - Public,Vehicle Dealers,Retail & Wholesale,$10+ billion (USD),0,0,CAD,50.0,70.0,60.0,Loblaw Companies Limited
"(CAN) Analyst, Business Systems and Analytics – Direct Store Delivery (12 month contract)",CA$50K - CA$121K (Glassdoor est.),"Job Type: Temporary (Fixed Term)
Schedule: Morning, afternoons, evenings, nights
Position Summary...
The Analyst, Business Systems and Analytics – Direct Store Delivery will report to the Manager, Direct Store Delivery and will work closely with a team of Analysts to provide ongoing data support for the DOME Project. After the launch of DOME, this role will be responsible for assisting with the ongoing enhancements and maintenance of the system. This role builds out the entire tableau portfolio for the DSD program and will also provide analytics to the Walmart freight program and tie reporting, analysis, and results to the original objects.






Age – 18 or older
6800 MARITZ DRIVE, MISSISSAUGA, ON L5W 1W2, Canada
R-1209548",3.3,"WALMART CANADA
3.6",,Mississauga,10000+ Employees,1962.0,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),0,0,CAD,50.0,121.0,85.5,WALMART CANADA
Data Specialist,CA$58K - CA$62K (Glassdoor est.),"Why work for Lafarge?:

As the global leader in innovative and sustainable building materials, we’re committed to shaping a greener, smarter and healthier world. At Lafarge Canada Inc., safety comes first, collaboration matters and diversity is celebrated with people who share our desire to continually make our materials better.

Do you have the drive, the skills, and the passion to join us?

Overview:

The primary objective of this role is to provide critical actionable data and analytics for identifying technical business growth and operational opportunities based on deep understating of multiple layers of data, such as RMX trucks sensors, plants vs field data.


Responsibilities:













Qualifications:


LafargeHolcim:",3.8,"Lafarge Canada Inc
3.8",,Mississauga,10000+ Employees,2015.0,Company - Public,Construction,"Construction, Repair & Maintenance Services",$10+ billion (USD),0,0,CAD,58.0,62.0,60.0,Lafarge Canada Inc
"Senior Business Data Analyst, BICC",CA$57K - CA$77K (Glassdoor est.),"Referred applicants should not apply directly to this role.
All referred applicants must first be submitted through Workday by a current Loblaw Colleague.
Location:
1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5
At Loblaw, we help millions of Canadians get through their best days, worst days, celebration days, and every day. Through our innovation and quality products, we’re here for our friends, neighbours, family members and colleagues.

We succeed through collaboration and commitment and set a high bar for ourselves and those around us.

We’re looking for adaptable people who are thrilled to join us in our goal of helping Canadians Live Life Well®. Whether you are just starting your career, re-entering the workforce, or looking for a new job, this is where you belong. We promote leaders at every level and support our people to follow their passion.
Full time
Regular",3.6,"Loblaw Companies Limited
3.6",,Brampton,10000+ Employees,,Company - Public,Vehicle Dealers,Retail & Wholesale,$10+ billion (USD),0,0,CAD,57.0,77.0,67.0,Loblaw Companies Limited
Machine Learning Research Scientist - Biotechnology Company,CA$90K - CA$110K (Employer est.),"This is a leading company in artificial intelligence for drug discovery that has launched multiple software products, including target identification platform, and automated drug discovery platform. We are looking for a Machine Learning Scientist to join the team. You will work with product teams as well as top AI scientists in this field. We focus on AI-assisted systems that can identify novel drug targets for untreated diseases, assist in the development of new treatments and eventually predict how well those treatments may perform in clinical trials. This company was ranked Top 5 AI companies in its potential for social impact according to NVIDIA and in 2018, the company was named one of the global top 100 AI companies by CB Insights. They are growing their team in Canada and are looking for people who want to be part of this journey.

More about role:
We are seeking a Machine Learning Research Scientist for generative models in chemistry/biology. We are an end-to-end artificial intelligence-driven pharma-technology company with a mission to accelerate drug discovery and development by leveraging our rapidly-evolving proprietary platforms across biology, chemistry, and clinical development. Our Pharma.AI platform has the potential to rapidly bring novel breakthrough medicines to patients while decreasing costs and increasing the probability of success.

Machine Learning Research scientist
1215 Boulevard René-Lévesque, Montreal. Hybrid model. Coming in to office 2 days a week.
Full time and permanent
90-110k + 8.33% bonus + Benefits + 3-4 weeks’ vacation


Do you have this experience?
Desirable Skills",4.4,"Groom & Associes
4.4",,Montreal,1 to 50 Employees,,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD),0,1,CAD,90.0,110.0,100.0,Groom & Associes
Data Scientist II – Applied Machine Learning,CA$80K - CA$100K (Glassdoor est.),"TD Description
Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.
Stay current and competitive. Carve out a career for yourself. Grow with us.
Department Overview
What does TD stand for? For starters, we believe in visionary leadership and insights. We believe in using every resource at our disposal to better serve our clients, and for almost every department, that begins with data.",4.0,"TD Bank
4.0",,Toronto,10000+ Employees,1855.0,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),0,0,CAD,80.0,100.0,90.0,TD Bank
Senior Master Data Analyst,CA$64K - CA$120K (Glassdoor est.),"Job ID #349846
Senior Master Data Analyst
On behalf of our client, Procom is currently seeking a Senior Master Data Analyst to join their IT team.
You will be an important member of the Global IT & Systems team that supports business users in the Americas, Europe, Middle East, Africa, and Asia.

You will join a cross-functional team of Enterprise Integration and Data experts in the early stages of our corporate Master Data Management journey. You will leverage your extensive experience in Data Governance and Data Management to help guide our team through all stages of our MDM program.

You will be able to rely on prior MDM experience to work with key business stakeholders to document our current Master Data Assets and their related business flows. You will be expected create a well-defined Data Governance model that will help evolve these processes and to better define our sources of truth, ultimately providing cleaner data to downstream systems and processes.",3.9,"Procom
3.9",,Richmond,5001 to 10000 Employees,1978.0,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 billion (USD),0,0,CAD,64.0,120.0,92.0,Procom
,CA$107K - CA$113K (Glassdoor est.),,-1.0,-1,,,,,,,,,0,0,CAD,107.0,113.0,110.0,-1
"Data Scientist, The Sims™",CA$122K - CA$123K (Glassdoor est.),"About the Role:
At Maxis, creator of The Sims™, we thrive on outrageous thinking. It’s the fuel that inspires the best life simulation games in the world. We’re innovators and great storytellers. But it’s not just about amazing your peers—it’s about amazing yourself and our fans. Take risks, collaborate with brilliant minds and dare to dream big. Together, we can impact millions of players every day.
As a Data Scientist on The Sims franchise, you’ll be handed the keys to massive volumes of player behavioral data and responsible for maintaining, iterating on, and developing data products that personalize the player experience, and inform business decisions, product development, and game design.
You’ll be working with a large but tight-knit studio of enthusiastic industry craftspeople from all walks of life. You’ll also join a group of experienced data scientists, analysts, and data engineers as a member of the embedded-and-dedicated Studios Data and Insights (SDI) team.





Electronic Arts is the leading interactive entertainment company, powered by innovative technology. We create incredible experiences for millions of players around the world. But what matters most is our people who inspire us, and the world, to play. As we bring new forms of entertainment to people around the world, we need creative, collaborative, diverse and adaptable people to keep making Electronic Arts better.",4.0,"Electronic Arts
4.0",,Vancouver,10000+ Employees,1990.0,Company - Public,Business Consulting,Management & Consulting,Unknown / Non-Applicable,0,0,CAD,122.0,123.0,122.5,Electronic Arts
BI Developer - Finance & Data Analytics,CA$72K - CA$101K (Glassdoor est.),"Who we are
lululemon is an innovative performance apparel company for yoga, running, training, and other athletic pursuits. Setting the bar in technical fabrics and functional design, we create transformational products and experiences that support people in moving, growing, connecting, and being well. We owe our success to our innovative product, emphasis on stores, commitment to our people, and the incredible connections we make in every community we're in. As a company, we focus on creating positive change to build a healthier, thriving future. In particular, that includes creating an equitable, inclusive and growth-focused environment for our people.

About this team
The Business Intelligence Developer will play a key role on our Finance Data and Analytics team in our journey to become a data-led organization. This person will be an advocate for data & analytics across the organization and be key in enabling business leaders and teams to the possibilities of new insights and ideas through data. This position will work extensively with our Finance teams, project stakeholders, and technology team members to define, implement, sustain and leverage our data ecosystem across our programs.

We are looking for a passionate and organized individual who is excited about delivering data-driven capabilities to meet lululemon’s growing insights, analytics and intelligence needs. This individual should have a track record of working in a collaborative environment and should take pride in evolving the organization to create the future data technology platform for growth. This person should have experience in retail reporting and analytics.

A day in the life

Qualifications

Must haves

#LI-Hybrid #LI-SS1",4.3,"Lululemon
4.3",,Vancouver,10000+ Employees,1998.0,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$5 to $10 billion (USD),0,0,CAD,72.0,101.0,86.5,Lululemon
Applied Machine Learning Scientist,CA$53K - CA$91K (Glassdoor est.),"POSITION SUMMARY

As an Applied ML Scientist, you will provide technical leadership and contribute to focused research breakthroughs and applications to solve real-world problems with machine learning and AI. You will provide guidance and work with some of the best and brightest data scientists and machine learning engineers from leading industry and health organizations. You will collaborate with some of the leading machine learning researchers, data scientists, and engineers. Publishing research papers on applied research is part of this role, but the focus is on the impact of the applications, not on the quantity or quality of publications. We are seeking a scientist with research experience in Responsible AI in a deep learning context. Experience in Fairness, Explainability, Privacy, AI Safety, Recommendation Systems, and NLP are all valuable areas of knowledge for this role.

RESPONSIBILITIES",4.5,"Vector Institute
4.5",,Toronto,Unknown,,Company - Private,,,Unknown / Non-Applicable,0,0,CAD,53.0,91.0,72.0,Vector Institute
Data Scientist - SynapseBio,CA$62K - CA$110K (Glassdoor est.),"About SynapseBio
SynapseBio is a venture backed digital health company founded within AlleyCorp. We seek to improve the diagnosis, care decisions and treatment options for patients with neuropsychiatric illness by discovering, validating and commercializing machine learning derived digital biomarkers, beginning with quantitative electroencephalography (qEEG).

Over the past years, SynapseBio has developed and refined a domain specific process and algorithm trained to clean and standardize EEG data and generate ML features which has demonstrated efficacy in advanced disease detection across multiple neuropsychiatric disorders. The team is currently exploring the viability of diagnostic, prognostic, treatment monitoring, and treatment selection solutions through clinical partnerships and pilot studies. The key therapeutic areas in which these products are being developed are Alzheimer's disease and major depressive disorder.",5.0,"AlleyCorp Nord
5.0",,Montreal,Unknown,,Company - Public,,,Unknown / Non-Applicable,0,0,CAD,62.0,110.0,86.0,AlleyCorp Nord
Data Scientist,CA$50K - CA$100K (Glassdoor est.),"=FRANÇAIS CI-DESSOUS=
Do you want to make models that matter?
Shine at family dinners explaining the work you do that they can, at last, understand and be impacted by?
Hear that doctors are excited to learn that you found a new way to improve people's healthcare?
Read patient testimonials that explain how much their lives are made better because of their magical doctors and nurses?
If it is in your genes to constantly question the status quo and be motivated by challenges. Fancy joining the growing industry of Telemedicine? Then it is time to apply!",5.0,"OROHealth
5.0",,Montreal,1 to 50 Employees,2020.0,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,0,CAD,50.0,100.0,75.0,OROHealth
Data Scientist,CA$50K - CA$61K (Glassdoor est.),"Looking for a Senior Data Scientist to utilize their analytical, statistical, and programming skills to leverage large data sets to derive business value and solve business problems.The ideal candidate would have 3-5 years of experience in this field.
Key Responsibilities and Job Duties:
Identify areas for ML/AI opportunities and demonstrate to internal clients how ML/AI can improve their business
Facilitate an in-depth understanding of the organization's operations
Explore and propose solutions to business problems that can be addressed using insights from data
Present data-driven recommendations to a variety of audiences, including the executive team",3.3,"MSi Corp (Bell Canada)
3.3",,Toronto,201 to 500 Employees,1998.0,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),0,0,CAD,50.0,61.0,55.5,MSi Corp (Bell Canada)
Data Analyst,CA$54K - CA$93K (Glassdoor est.),"Founded in 2014, Spring Financial has spent the last 7 years simplifying the lending process for millions of Canadians facing every type of financial circumstance. In the process, we’ve become the largest fintech loan originator in the country with over 50,000 monthly applicants and over 250,000 loans originated!

Many Canadians have been locked out of the financial system and are stuck without the credit they need, unable to save money and paying extremely high interest rates. At Spring, our mission is to provide all Canadians access to fair-priced financial products. We do this through a variety of products including our signature savings and credit-building product, The Foundation Loan, and our personal loan offering, the Evergreen Loan. We’ve made all of our products available to Canadians from the comfort of their own home and without having to visit a branch!",3.8,"Spring Financial Inc.
3.8",,Vancouver,51 to 200 Employees,2014.0,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,0,0,CAD,54.0,93.0,73.5,Spring Financial Inc.
Data Scientist - Data Analytics and Infrastructure (remote),CA$80K - CA$121K (Glassdoor est.),"Company Description

You will join a world-class team of engineers and data scientists from Facebook, Uber, Amazon and Google. We are a fast growing consulting firm based in Toronto with clients ranging from leading startups building impactful technologies to Fortune 500 companies looking to scale their engineering and data capabilities.

Job Description

We are looking for Data Scientists who are passionate about analytics and using data to help drive business decisions. You enjoy working with structured and/or unstructured data and are motivated to produce highly actionable results. You are experienced in architecting data ETL workflows and schemas. Critical thinking and problem-solving skills are essential for this role.",5.0,"Ample Insight Inc.
5.0",,Toronto,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,0,0,CAD,80.0,121.0,100.5,Ample Insight Inc.
Data Analytics Engineer/Specialist,CA$118K - CA$144K (Glassdoor est.),"Data Analytics Engineer/Specialist - 00VTV
Description
About ConocoPhillips:
ConocoPhillips is one of the world’s leading exploration and production companies based on both production and reserves, with a globally diversified asset portfolio. Headquartered in Houston, Texas, ConocoPhillips had operations and activities in 13 countries, $93 billion of total assets and approximately 9,400 employees at March 31, 2022. Production averaged 1,747 MBOED for the three months ended March 31, 2022, and proved reserves were 6.1 BBOE as of Dec. 31, 2021.
In Canada, we can trace our history back over 110 years. Headquartered in Calgary, Alberta, our current investment programs are focused on the operated Surmont oil sands development in the Athabasca region of northeast Alberta and the liquids rich Montney unconventional play in northeast British Columbia. Our production averaged 94 MBOED in 2021 and proved reserves were 0.3 BBOE.",4.1,"ConocoPhillips
4.1",,Calgary,501 to 1000 Employees,2002.0,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 million (USD),0,0,CAD,118.0,144.0,131.0,ConocoPhillips
Data Scientist - Climate Risk Modeling,CA$80K - CA$97K (Glassdoor est.),"Events in recent years have made us all too familiar with the havoc that natural disasters can wreak, and the increasing frequency and intensity with which they are occurring. Despite record levels of losses, conventional methods of risk modeling continue to paint at best an incomplete picture of these threats.
Zesty.ai uses novel data gathering and data science methods to produce higher quality information about the risks to property from catastrophes like floods and wildfires. While AI alone may not be able to thwart these disasters, it can help us become more prepared for them, and ultimately that will lead to better outcomes.
As a Data Scientist - Climate Risk Modeling, you are comfortable and excited to work closely with the engineering team to build the best AI tech possible. You will develop top tier models from unique and diverse data sources to provide strong insights and maximize the impact of our company efforts. You thrive in a collaborative, creative environment that moves fast and you are comfortable setting in place structures and processes to help the company scale.",5.0,"Zesty.ai
5.0",,Montreal,51 to 200 Employees,2015.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,CAD,80.0,97.0,88.5,Zesty.ai
Data and Analytics Coordinator,CA$98K - CA$114K (Employer est.),"Posting Id
1801

Department
Community Services

Division
Public Works Operations

Section
PWO Support Services

Job Grade",3.8,"City of Richmond Hill
3.8",,Richmond Hill,501 to 1000 Employees,,Government,,,Unknown / Non-Applicable,0,1,CAD,98.0,114.0,106.0,City of Richmond Hill
Machine Learning Research Engineer,CA$80K - CA$98K (Glassdoor est.),"Machine Learning Research Engineer
VANCOUVER, BRITISH COLUMBIA /
TECHNOLOGY DEVELOPMENT /
PERMANENT, FULL-TIME
We are seeking a Machine Learning (ML) Research Engineer to join Aspect’s highly multidisciplinary research and product development team. In this role, you will help create modern ML methods to support and accelerate Aspect’s tissue design and therapeutic workflow.
What You’ll Do
Research and develop state-of-the-art computer vision, data science, and deep learning technologies.",4.3,"Aspect Biosystems
4.3",,Vancouver,51 to 200 Employees,2013.0,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,0,0,CAD,80.0,98.0,89.0,Aspect Biosystems
"Applied Researcher, Machine Learning",CA$109K - CA$188K (Glassdoor est.),"Sanctuary is seeking exceptional Machine Learning (ML) engineers to join our team of experienced ML researchers/engineers and control engineers, working on foundational problems of robotic perception, planning, and reasoning.
As part of the ML team, you will be responsible for designing and implementing novel algorithms and testing your algorithms in simulation and on our robots in real-world settings. With access to in-house robots, you will have a unique opportunity for impactful work with new haptic and proprioceptive sensing modalities. As part of your work, you'll have the opportunity to learn and implement leading-edge ML methods.
*
Success Criteria*
Design and implement novel algorithms and test your algorithms in real-world settings in at least one of these categories: computer vision, haptics processing, or robotics",4.4,"Sanctuary AI
4.4",,Vancouver,51 to 200 Employees,2018.0,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,0,0,CAD,109.0,188.0,148.5,Sanctuary AI
Analytics Engineer,CA$108K (Employer est.),"Over 100,000 businesses and millions of people use 1Password to protect their most important information, and we believe those people – and the companies they work for – shouldn’t have to choose between security and productivity. We see security as a human challenge, rather than a technological one. It’s hard work, but our mission has always been to ease the tension between security and convenience and help people navigate the digital world without fear or friction. Human-centric security is part of our DNA, but human-centricity is also the backbone of our culture. We encourage big ideas and new ways of working that help us to make the online world a safer place for everyone.

We are in search of an Analytics Engineer to join the Data Engineering Team. You will be part of the group of talented individuals that support reporting, ad-hoc analysis, and data science workload. On a typical day, you will help make sense of data from various internal tools that have been integrated into our central data lake, work with analysts to understand how key metrics are derived, help build dashboards or presentations, optimize data transformation and query performance to ensure that we have accurate data and insight at the right time.",4.8,"1Password
4.8",,Remote,201 to 500 Employees,2006.0,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,0,1,CAD,108.0,108.0,108.0,1Password
"(CAN) Analyst, Business Systems and Analytics – Direct Store Delivery (12 month contract)",CA$50K - CA$121K (Glassdoor est.),"Job Type: Temporary (Fixed Term)
Schedule: Morning, afternoons, evenings, nights
Position Summary...
The Analyst, Business Systems and Analytics – Direct Store Delivery will report to the Manager, Direct Store Delivery and will work closely with a team of Analysts to provide ongoing data support for the DOME Project. After the launch of DOME, this role will be responsible for assisting with the ongoing enhancements and maintenance of the system. This role builds out the entire tableau portfolio for the DSD program and will also provide analytics to the Walmart freight program and tie reporting, analysis, and results to the original objects.






Age – 18 or older
6800 MARITZ DRIVE, MISSISSAUGA, ON L5W 1W2, Canada
R-1209548",3.3,"WALMART CANADA
3.6",,Mississauga,10000+ Employees,1962.0,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),0,0,CAD,50.0,121.0,85.5,WALMART CANADA
Software Engineer in Algorithms & Optimization - Junior,CA$90K - CA$110K (Employer est.),"Role Summary:
This is an opportunity in the exciting and fast-growing transportation technology industry. Public transit is being transformed from a system of static, scheduled fixed-routes, to a dynamic on-demand network, and you will be one of the pioneers shaping this transformation.
As the newest member of our Algorithms & Optimization team, you will contribute to the complex suite of algorithms that power RideCo’s core ridesharing platform. The ideal candidate must possess a sound grasp of Algorithms and Data Structures, strong critical thinking and reasoning skills, and the ability to produce readable, maintainable, and working software programs from abstract concepts and ideas. You will thrive in a small-team environment with fast-paced agile iterations, where every developer contributes code that delivers a meaningful impact to our customers and the company.",4.1,"RideCo
4.1",,Waterloo,51 to 200 Employees,2013.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,1,CAD,90.0,110.0,100.0,RideCo
BI Analyst,CA$51K - CA$73K (Glassdoor est.),"At SCI our people make us even better, which is why we want you to be a part of our fast growing organization. SCI recognizes that having a great team is the key to success, which is why we attract and retain the right people with an employee experience that focuses on building trust, embracing change, and achieving our goals together. Any one of our 3000 industry experts will tell you that we take on some of Canada’s toughest service and logistic challenges in specialized transportation, technical services, and supply chain management. For 30 years, our proficient planning and flexible solutions have brought us top tier clients. With clear focus, operational excellence, and future growth at the core of our operation, we apply out-of-the-box thinking to deliver exceptional experiences that take our clients to the next level. Are you ready for your next challenge?
As BI Analyst, the incumbent will be responsible for implementation of new customer projects, change requests and managing day to day support of the business inquiries and BI environment. He/she will participate as part of a team in design and implementation of standardized reporting & analytics processes to support current and future reporting needs of business.",3.0,"SCI Group
3.0",,Toronto,51 to 200 Employees,,Company - Private,Taxi & Car Services,Transportation & Logistics,$5 to $25 million (USD),0,0,CAD,51.0,73.0,62.0,SCI Group
Senior Data Analyst,CA$50K - CA$70K (Glassdoor est.),"Referred applicants should not apply directly to this role.
All referred applicants must first be submitted through Workday by a current Loblaw Colleague.
Location:
1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5
At Loblaw, we help millions of Canadians get through their best days, worst days, celebration days, and every day. Through our innovation and quality products, we’re here for our friends, neighbours, family members and colleagues.

We succeed through collaboration and commitment and set a high bar for ourselves and those around us.

We’re looking for adaptable people who are thrilled to join us in our goal of helping Canadians Live Life Well®. Whether you are just starting your career, re-entering the workforce, or looking for a new job, this is where you belong. We promote leaders at every level and support our people to follow their passion.
Full time
Regular",3.6,"Loblaw Companies Limited
3.6",,Brampton,10000+ Employees,,Company - Public,Vehicle Dealers,Retail & Wholesale,$10+ billion (USD),0,0,CAD,50.0,70.0,60.0,Loblaw Companies Limited
"Senior Business Data Analyst, BICC",CA$57K - CA$77K (Glassdoor est.),"Referred applicants should not apply directly to this role.
All referred applicants must first be submitted through Workday by a current Loblaw Colleague.
Location:
1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5
At Loblaw, we help millions of Canadians get through their best days, worst days, celebration days, and every day. Through our innovation and quality products, we’re here for our friends, neighbours, family members and colleagues.

We succeed through collaboration and commitment and set a high bar for ourselves and those around us.

We’re looking for adaptable people who are thrilled to join us in our goal of helping Canadians Live Life Well®. Whether you are just starting your career, re-entering the workforce, or looking for a new job, this is where you belong. We promote leaders at every level and support our people to follow their passion.
Full time
Regular",3.6,"Loblaw Companies Limited
3.6",,Brampton,10000+ Employees,,Company - Public,Vehicle Dealers,Retail & Wholesale,$10+ billion (USD),0,0,CAD,57.0,77.0,67.0,Loblaw Companies Limited
Machine Learning Research Scientist - Biotechnology Company,CA$90K - CA$110K (Employer est.),"This is a leading company in artificial intelligence for drug discovery that has launched multiple software products, including target identification platform, and automated drug discovery platform. We are looking for a Machine Learning Scientist to join the team. You will work with product teams as well as top AI scientists in this field. We focus on AI-assisted systems that can identify novel drug targets for untreated diseases, assist in the development of new treatments and eventually predict how well those treatments may perform in clinical trials. This company was ranked Top 5 AI companies in its potential for social impact according to NVIDIA and in 2018, the company was named one of the global top 100 AI companies by CB Insights. They are growing their team in Canada and are looking for people who want to be part of this journey.

More about role:
We are seeking a Machine Learning Research Scientist for generative models in chemistry/biology. We are an end-to-end artificial intelligence-driven pharma-technology company with a mission to accelerate drug discovery and development by leveraging our rapidly-evolving proprietary platforms across biology, chemistry, and clinical development. Our Pharma.AI platform has the potential to rapidly bring novel breakthrough medicines to patients while decreasing costs and increasing the probability of success.

Machine Learning Research scientist
1215 Boulevard René-Lévesque, Montreal. Hybrid model. Coming in to office 2 days a week.
Full time and permanent
90-110k + 8.33% bonus + Benefits + 3-4 weeks’ vacation


Do you have this experience?
Desirable Skills",4.4,"Groom & Associes
4.4",,Montreal,1 to 50 Employees,,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD),0,1,CAD,90.0,110.0,100.0,Groom & Associes
BI Developer - Finance & Data Analytics,CA$72K - CA$101K (Glassdoor est.),"Who we are
lululemon is an innovative performance apparel company for yoga, running, training, and other athletic pursuits. Setting the bar in technical fabrics and functional design, we create transformational products and experiences that support people in moving, growing, connecting, and being well. We owe our success to our innovative product, emphasis on stores, commitment to our people, and the incredible connections we make in every community we're in. As a company, we focus on creating positive change to build a healthier, thriving future. In particular, that includes creating an equitable, inclusive and growth-focused environment for our people.

About this team
The Business Intelligence Developer will play a key role on our Finance Data and Analytics team in our journey to become a data-led organization. This person will be an advocate for data & analytics across the organization and be key in enabling business leaders and teams to the possibilities of new insights and ideas through data. This position will work extensively with our Finance teams, project stakeholders, and technology team members to define, implement, sustain and leverage our data ecosystem across our programs.

We are looking for a passionate and organized individual who is excited about delivering data-driven capabilities to meet lululemon’s growing insights, analytics and intelligence needs. This individual should have a track record of working in a collaborative environment and should take pride in evolving the organization to create the future data technology platform for growth. This person should have experience in retail reporting and analytics.

A day in the life

Qualifications

Must haves

#LI-Hybrid #LI-SS1",4.3,"Lululemon
4.3",,Vancouver,10000+ Employees,1998.0,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$5 to $10 billion (USD),0,0,CAD,72.0,101.0,86.5,Lululemon
Data Scientist II – Applied Machine Learning,CA$80K - CA$100K (Glassdoor est.),"TD Description
Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.
Stay current and competitive. Carve out a career for yourself. Grow with us.
Department Overview
What does TD stand for? For starters, we believe in visionary leadership and insights. We believe in using every resource at our disposal to better serve our clients, and for almost every department, that begins with data.",4.0,"TD Bank
4.0",,Toronto,10000+ Employees,1855.0,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),0,0,CAD,80.0,100.0,90.0,TD Bank
New Grad Software Engineer / Machine Learning Engineer,CA$102K - CA$145K (Glassdoor est.),"Individually we are people, but together we are Aviva. Individually these are just words, but together they are our Values – Care, Commitment, Community, and Confidence.
What you’ll do
Develop, test, and deploy code
Maintain an existing code database
Test and debug software and hardware related issues
Keep your eye out for opportunities to improve our products
What you’ll bring
A degree in Computer Science/Engineering or related field.
1+ programming experience in Python with strong grasp of software engineering standard methodologies such as code-reusability, modularity, use of repos, etc.",3.9,"Aviva
3.7",,Markham,1 to 50 Employees,,Company - Private,Mining & Metals,"Energy, Mining & Utilities",Unknown / Non-Applicable,0,0,CAD,102.0,145.0,123.5,Aviva
